registration number,registration date,application number,application date,authors,authors count,right holders,contact to third parties,microchip name,first usage countries,first usage date,right holder on first usage date,expiration date,registration publish date,registration publish number,actual,publication URL
2012630046,20120416,2012630012,20120227,"Белозубов Евгений Михайлович (RU)
Козлова Наталья Анатольевна (RU)
Белозубова Нина Евгеньевна (RU)",3,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Тензорезисторный преобразователь давления на основе тонкопленочной нано-и микроэлектромеханической системы 12Н,,,,,20120920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2012630046
2012630104,20120803,2012630074,20120607,Долотов Павел Сергеевич (RU),1,"Федеральное государственное учреждение ""Федеральный научный центр Научно-исследовательский институт системных исследований Российской академии наук"" (ФГУ ФНЦ НИИСИ РАН) (RU)",,Сдвоенная ячейка DICE по объёмной КМОП технологии с проектными нормами 65 нм,,,,,20121220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2012630104
2012630106,20120815,2012630078,20120619,Берчук Валерий Александрович (RU),1,"Российская Федерация, от имени которой выступает Государственная корпорация по атомной энергии «Росатом» (RU)
Федеральное государственное унитарное предприятие «Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики» (ФГУП «РФЯЦ-ВНИИЭФ») (RU)",,Аналого-цифровой базовый кристалл НБК1501Т,,,,,20121220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2012630106
2012630107,20120815,2012630079,20120619,"Зимняков Андрей Анатольевич (RU)
Полунин Илья Николаевич (RU)
Суховирский Дмитрий Михайлович (RU)",3,"Российская Федерация, от имени которой выступает Государственная корпорация по атомной энергии «Росатом» (RU)
Федеральное государственное унитарное предприятие «Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики» (ФГУП «РФЯЦ-ВНИИЭФ») (RU)",,Усилитель промежуточной частоты с автоматической регулировкой усиления 1339УР1У,,,,,20121220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2012630107
2012630108,20120815,2012630080,20120619,"Зимин Андрей Евгеньевич (RU)
Шмаков Сергей Иванович (RU)
Рузин Михаил Геннадьевич (RU)
Кривоносов Андрей Борисович (RU)",4,"Российская Федерация, от имени которой выступает Государственная корпорация по атомной энергии «Росатом» (RU)
Федеральное государственное унитарное предприятие «Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики» (ФГУП «РФЯЦ-ВНИИЭФ») (RU)",,Интерфейсный контроллер 1898ВГ1Т,,,,,20121220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2012630108
2012630109,20120815,2012630081,20120619,"Труфанов Сергей Иванович (RU)
Рудый Александр Николаевич (RU)
Устименко Сергей Николаевич (RU)",3,"Российская Федерация, от имени которой выступает Государственная корпорация по атомной энергии «Росатом» (RU)
Федеральное государственное унитарное предприятие «Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики» (ФГУП «РФЯЦ-ВНИИЭФ») (RU)",,Делитель частоты на 4 или 8 1339ПК1У,,,,,20121220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2012630109
2012630110,20120815,2012630082,20120619,"Булохов Сергей Алексеевич (RU)
Захаров Александр Михайлович (RU)
Полунин Илья Николаевич (RU)",3,"Российская Федерация, от имени которой выступает Государственная корпорация по атомной энергии «Росатом» (RU)
Федеральное государственное унитарное предприятие «Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики» (ФГУП «РФЯЦ-ВНИИЭФ») (RU)",,Двухразрядный аналого-цифровой преобразователь 1339ПВ1У,,,,,20121220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2012630110
2012630111,20120815,2012630083,20120619,"Зимняков Андрей Анатольевич (RU)
Захаров Александр Михайлович (RU)
Суховирский Дмитрий Михайлович (RU)
Тихонов Евгений Владимирович (RU)",4,"Российская Федерация, от имени которой выступает Государственная корпорация по атомной энергии «Росатом» (RU)
Федеральное государственное унитарное предприятие «Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики» (ФГУП «РФЯЦ-ВНИИЭФ») (RU)",,Статическое ОЗУ с повышенным уровнем бессбойной работы 1658РУ1У,,,,,20121220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2012630111
2012630112,20120815,2012630084,20120619,"Суховирский Дмитрий Михайлович (RU)
Захаров Александр Михайлович (RU)
Кондраченков Евгений Михайлович (RU)
Карачкин Сергей Вячеславович (RU)",4,"Российская Федерация, от имени которой выступает Государственная корпорация по атомной энергии «Росатом» (RU)
Федеральное государственное унитарное предприятие «Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики» (ФГУП «РФЯЦ-ВНИИЭФ») (RU)",,Статическое ОЗУ повышенной стойкости 1620РУ11У,,,,,20121220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2012630112
2012630113,20120815,2012630085,20120619,"Суховирский Дмитрий Михайлович (RU)
Захаров Александр Михайлович (RU)
Кондраченков Евгений Михайлович (RU)
Карачкин Сергей Вячеславович (RU)",4,"Российская Федерация, от имени которой выступает Государственная корпорация по атомной энергии «Росатом» (RU)
Федеральное государственное унитарное предприятие «Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики» (ФГУП «РФЯЦ-ВНИИЭФ») (RU)",,Масочное ПЗУ повышенной стойкости 1620РЕ5У,,,,,20121220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2012630113
